,date,lending_rate,borrowing_rate
0,2025-11-16 00:00:00+00:00,3.831152209446796e-06,5.0436457422064766e-06
1,2025-11-17 00:00:00+00:00,5.737987341739437e-06,7.6028449706806805e-06
2,2025-11-18 00:00:00+00:00,4.732405565361675e-06,6.20247423676359e-06
3,2025-11-19 00:00:00+00:00,4.351893748751556e-06,5.65722609531482e-06
4,2025-11-20 00:00:00+00:00,5.691497549396031e-06,7.5030612923323046e-06
5,2025-11-21 00:00:00+00:00,4.705198390259175e-06,6.31161638710271e-06
6,2025-11-22 00:00:00+00:00,4.0706799012700626e-06,5.546539998080989e-06
7,2025-11-23 00:00:00+00:00,4.375390506959058e-06,6.132950650200839e-06
8,2025-11-24 00:00:00+00:00,4.699608911232497e-06,6.367193924753451e-06
9,2025-11-25 00:00:00+00:00,4.9979076593967985e-06,6.767060191073067e-06
10,2025-11-26 00:00:00+00:00,4.496395177999709e-06,6.122093109410305e-06
11,2025-11-27 00:00:00+00:00,4.698308077461645e-06,6.445409215628363e-06
12,2025-11-28 00:00:00+00:00,3.749030311680129e-06,5.2117033100702766e-06
13,2025-11-29 00:00:00+00:00,4.184653432169386e-06,5.912682743544698e-06
14,2025-11-30 00:00:00+00:00,3.6188123729084076e-06,5.204424984602431e-06
15,2025-12-01 00:00:00+00:00,4.1078564804616065e-06,5.723876568425305e-06
16,2025-12-02 00:00:00+00:00,3.7935596409423277e-06,5.295892615338808e-06
17,2025-12-03 00:00:00+00:00,4.3426327637950074e-06,6.099725026491884e-06
18,2025-12-04 00:00:00+00:00,3.6457341019470506e-06,5.154762095982987e-06
19,2025-12-05 00:00:00+00:00,3.824621923144679e-06,5.417336358740139e-06
20,2025-12-06 00:00:00+00:00,4.143723206111937e-06,5.8717782262227636e-06
21,2025-12-07 00:00:00+00:00,3.68144699894859e-06,5.252303552867042e-06
22,2025-12-08 00:00:00+00:00,4.065679378634893e-06,5.8117887708964655e-06
23,2025-12-09 00:00:00+00:00,3.66559300257364e-06,5.188391311489209e-06
24,2025-12-10 00:00:00+00:00,4.096341627764713e-06,5.85156340525013e-06
25,2025-12-11 00:00:00+00:00,3.6796564874051354e-06,5.232095330359344e-06
26,2025-12-12 00:00:00+00:00,3.878178322907984e-06,5.425961708409458e-06
27,2025-12-13 00:00:00+00:00,4.371393151900006e-06,5.998742175819989e-06
28,2025-12-14 00:00:00+00:00,3.931822759986217e-06,5.431734429094868e-06
29,2025-12-15 00:00:00+00:00,4.244900685040193e-06,5.929598616373644e-06
30,2025-12-16 00:00:00+00:00,3.995694610699265e-06,5.603537588779641e-06
31,2025-12-17 00:00:00+00:00,3.7217141545995267e-06,5.1752385448558074e-06
32,2025-12-18 00:00:00+00:00,4.403429576619818e-06,6.127934692035939e-06
33,2025-12-19 00:00:00+00:00,3.875287461559845e-06,5.427943356332319e-06
34,2025-12-20 00:00:00+00:00,3.525741733666119e-06,5.012567908217073e-06
35,2025-12-21 00:00:00+00:00,3.7920428654166985e-06,5.527836239391055e-06
36,2025-12-22 00:00:00+00:00,3.6665896226835946e-06,5.452962399761895e-06
37,2025-12-23 00:00:00+00:00,3.4694063736159644e-06,5.172752594260605e-06
38,2025-12-24 00:00:00+00:00,3.4539018258739684e-06,5.116109577791644e-06
39,2025-12-25 00:00:00+00:00,3.5129474174131355e-06,5.197789594975626e-06
40,2025-12-26 00:00:00+00:00,3.7606575536168927e-06,5.553259570832871e-06
41,2025-12-27 00:00:00+00:00,3.507829205336404e-06,5.105449119173095e-06
42,2025-12-28 00:00:00+00:00,3.7483186230960117e-06,5.500367514040983e-06
43,2025-12-29 00:00:00+00:00,3.6889623105728937e-06,5.437440838926307e-06
44,2025-12-30 00:00:00+00:00,3.409493423970413e-06,5.057800457502684e-06
45,2025-12-31 00:00:00+00:00,3.6357635270410056e-06,5.41212832681106e-06
46,2026-01-01 00:00:00+00:00,3.500018408108228e-06,5.1369980908901424e-06
47,2026-01-02 00:00:00+00:00,4.296172946214273e-06,6.024927670388944e-06
48,2026-01-03 00:00:00+00:00,4.1311922041828825e-06,5.673801433296388e-06
49,2026-01-04 00:00:00+00:00,3.813906175432207e-06,5.2381815340908335e-06
50,2026-01-05 00:00:00+00:00,3.980883058528428e-06,5.495612047251947e-06
51,2026-01-06 00:00:00+00:00,4.363632775896402e-06,6.0195620733742e-06
52,2026-01-07 00:00:00+00:00,3.8028181485740156e-06,5.223555097996561e-06
53,2026-01-08 00:00:00+00:00,3.887193964527259e-06,5.265734011220765e-06
54,2026-01-09 00:00:00+00:00,3.962066938210465e-06,5.308342061316526e-06
55,2026-01-10 00:00:00+00:00,3.919433379095149e-06,5.218426407986526e-06
56,2026-01-11 00:00:00+00:00,4.1168686753165315e-06,5.461195901988685e-06
57,2026-01-12 00:00:00+00:00,4.146461854075995e-06,5.503166910175273e-06
58,2026-01-13 00:00:00+00:00,3.89679114557995e-06,5.157261161577503e-06
59,2026-01-14 00:00:00+00:00,4.4532753211496275e-06,5.843770070948473e-06
60,2026-01-15 00:00:00+00:00,3.974351835095614e-06,5.169699806096215e-06
61,2026-01-16 00:00:00+00:00,3.895006567203737e-06,5.116178390651939e-06
62,2026-01-17 00:00:00+00:00,4.119884134036496e-06,5.504280401237462e-06
63,2026-01-18 00:00:00+00:00,3.917305557807724e-06,5.264831576310305e-06
64,2026-01-19 00:00:00+00:00,4.149037915550351e-06,5.562408184789461e-06
65,2026-01-20 00:00:00+00:00,3.4433744705950642e-06,4.625675578411871e-06
66,2026-01-21 00:00:00+00:00,4.311088885665158e-06,5.825450539587355e-06
67,2026-01-22 00:00:00+00:00,4.032762972255089e-06,5.2737095652803085e-06
68,2026-01-23 00:00:00+00:00,4.460938828735642e-06,5.61038296282087e-06
69,2026-01-24 00:00:00+00:00,4.3643653499041285e-06,5.5401177007585645e-06
70,2026-01-25 00:00:00+00:00,4.286132739330911e-06,5.453181526013513e-06
71,2026-01-26 00:00:00+00:00,5.003590654420024e-06,6.33477884316438e-06
72,2026-01-27 00:00:00+00:00,3.968936601536352e-06,5.027952412059123e-06
73,2026-01-28 00:00:00+00:00,4.7113797441891735e-06,5.828939569514501e-06
74,2026-01-29 00:00:00+00:00,4.503386753454143e-06,5.561938635237759e-06
75,2026-01-30 00:00:00+00:00,4.986129892296571e-06,6.130333687980764e-06
76,2026-01-31 00:00:00+00:00,5.28824688451724e-06,6.363428618331062e-06
77,2026-02-01 00:00:00+00:00,5.7325014333119734e-06,7.090136304605524e-06
78,2026-02-02 00:00:00+00:00,3.835433931066341e-06,4.8344962309349085e-06
79,2026-02-03 00:00:00+00:00,3.7420945446831416e-06,4.775684652019138e-06
80,2026-02-04 00:00:00+00:00,5.061155949009856e-06,6.609136570973442e-06
81,2026-02-05 00:00:00+00:00,3.946482993854083e-06,5.27342267620738e-06
82,2026-02-06 00:00:00+00:00,3.564012277246365e-06,5.024761528658086e-06
83,2026-02-07 00:00:00+00:00,2.7965908452608114e-06,4.024316929554783e-06
84,2026-02-08 00:00:00+00:00,3.2929502571504317e-06,4.915911629321414e-06
85,2026-02-09 00:00:00+00:00,2.942340486826764e-06,4.716877620017522e-06
86,2026-02-10 00:00:00+00:00,2.7162218062994054e-06,4.425280739168048e-06
87,2026-02-11 00:00:00+00:00,2.467152087830121e-06,4.086822781760799e-06
88,2026-02-12 00:00:00+00:00,2.7474162658136007e-06,4.437427904933955e-06
89,2026-02-13 00:00:00+00:00,2.707508203517275e-06,4.374451353175534e-06
90,2026-02-14 00:00:00+00:00,2.799522776844144e-06,4.540634199241841e-06
