window_id,window_start,window_end,policy,n_blocks,net_apy_pct,sharpe,sortino,max_drawdown_pct,n_rebalances
W1,2024-11-01,2025-02-01,b1_always_aave,662400,9.471378379738727,62.83514129566628,inf,0.0,0
W1,2024-11-01,2025-02-01,t1_threshold,662400,15.242209169731469,48.68867977717951,inf,0.0,218
W1,2024-11-01,2025-02-01,t2_optimal_stopping,662400,15.03740923692134,47.01839145652694,inf,0.0,250
W2,2025-02-01,2025-05-01,b1_always_aave,640800,3.4171201699909837,76.95748866313045,inf,0.0,0
W2,2025-02-01,2025-05-01,t1_threshold,640800,5.49723801286135,45.31894307090195,inf,0.0,32
W2,2025-02-01,2025-05-01,t2_optimal_stopping,640800,5.137533793200588,40.13461882632197,inf,0.0,89
W3,2025-05-01,2025-08-01,b1_always_aave,662400,3.858190881109258,183.5684021367394,inf,0.0,0
W3,2025-05-01,2025-08-01,t1_threshold,662400,7.160889529544701,42.1495270742749,inf,0.0,38
W3,2025-05-01,2025-08-01,t2_optimal_stopping,662400,6.344007539561369,33.77821732379204,59.47314028490435,-0.006477403042490024,190
W4,2025-08-01,2025-11-01,b1_always_aave,662400,4.262804510576768,178.87304064723892,inf,0.0,0
W4,2025-08-01,2025-11-01,t1_threshold,662400,6.565669236882354,48.038251763375065,inf,0.0,31
W4,2025-08-01,2025-11-01,t2_optimal_stopping,662400,5.7447843262707465,35.28007173580666,80.58751893872008,-0.0036383482045124066,201
W5,2025-11-01,2026-02-01,b1_always_aave,662400,3.775796246803842,124.10792319428248,inf,0.0,0
W5,2025-11-01,2026-02-01,t1_threshold,662400,5.164884322270336,40.64038305151266,inf,0.0,34
W5,2025-11-01,2026-02-01,t2_optimal_stopping,662400,4.864082656884561,32.7980831679735,inf,0.0,147
W6,2026-02-01,2026-04-30,b1_always_aave,640799,3.1039979333653767,24.2246010039926,inf,0.0,0
W6,2026-02-01,2026-04-30,t1_threshold,640799,5.140666635539715,31.201340460600058,inf,0.0,30
W6,2026-02-01,2026-04-30,t2_optimal_stopping,640799,4.9838770339754035,29.290012516844396,93.00570479837678,-0.002746664373103913,97
