policy,contrast,protocol_hold,mean_pp,ci_low_95,ci_high_95,p_one_sided_le0,directional_consistency,n_windows
t1_threshold,t1_threshold vs aave_hold,aave,2.8137059869293193,1.8724092674828847,4.0511878565563775,0.0,6,6
t1_threshold,t1_threshold vs morpho_hold,morpho,2.5824665606330233,1.4249317739831955,4.199904163803404,0.0,6,6
t1_threshold,t1_threshold vs euler_hold,euler,1.4571139056281304,-0.0007691691463852277,3.661979364079903,0.0264,5,6
t1_threshold,t1_threshold vs compound_hold,compound,2.626762028353606,1.5687050564159681,3.9709077335957943,0.0,6,6
t1_threshold,t1_threshold vs spark_hold,spark,1.7784336626456767,1.375042950394164,2.243070529090859,0.0,6,6
t1_threshold,t1_threshold vs fluid_hold,fluid,2.6269923617600424,1.6762008039986767,3.8120964708586875,0.0,6,6
t2_optimal_stopping,t2_optimal_stopping vs aave_hold,aave,2.37039560026,1.4567974034441618,3.6920097158311607,0.0,6,6
t2_optimal_stopping,t2_optimal_stopping vs morpho_hold,morpho,2.139156173963704,0.9949625688515796,3.8539866359178396,0.0,6,6
t2_optimal_stopping,t2_optimal_stopping vs euler_hold,euler,1.013803518958811,-0.5280309044119247,3.3133480851698613,0.2156,2,6
t2_optimal_stopping,t2_optimal_stopping vs compound_hold,compound,2.183451641684287,1.1272184074306635,3.6073229660186903,0.0,6,6
t2_optimal_stopping,t2_optimal_stopping vs spark_hold,spark,1.3351232759763576,0.978308709142813,1.820385393835977,0.0,6,6
t2_optimal_stopping,t2_optimal_stopping vs fluid_hold,fluid,2.1836819750907233,1.225959335639848,3.4972842949647194,0.0,6,6
t3_hazard,t3_hazard vs aave_hold,aave,2.8840096485028344,1.9648633197517567,4.082088112648159,0.0,6,6
t3_hazard,t3_hazard vs morpho_hold,morpho,2.6527702222065384,1.5021700842966463,4.291509386814514,0.0,6,6
t3_hazard,t3_hazard vs euler_hold,euler,1.5274175672016461,0.055640729736842566,3.7145871195308837,0.0114,5,6
t3_hazard,t3_hazard vs compound_hold,compound,2.697065689927122,1.647424966180692,4.0864657284158525,0.0,6,6
t3_hazard,t3_hazard vs spark_hold,spark,1.8487373242191925,1.4602560375988949,2.2805620858667144,0.0,6,6
t3_hazard,t3_hazard vs fluid_hold,fluid,2.6972960233335583,1.743526960236897,3.8830839704573825,0.0,6,6
