policy,contrast,protocol_hold,mean_pp,ci_low_95,ci_high_95,p_one_sided_le0,directional_consistency,n_windows
t1_threshold,t1_threshold vs aave_hold,aave,2.6914011649176284,2.080108076301923,3.3026942535333337,0.0,2,2
t1_threshold,t1_threshold vs morpho_hold,morpho,1.8345606015145899,0.9205968093279004,2.7485243937012793,0.0,2,2
t1_threshold,t1_threshold vs euler_hold,euler,1.1008311689288952,0.3265565316810104,1.87510580617678,0.0,2,2
t1_threshold,t1_threshold vs compound_hold,compound,2.070201860851162,1.2011236841462658,2.939280037556058,0.0,2,2
t1_threshold,t1_threshold vs spark_hold,spark,1.8191107242372495,1.324128409766856,2.314093038707643,0.0,2,2
t1_threshold,t1_threshold vs fluid_hold,fluid,2.5952444727916024,1.9318626504293501,3.2586262951538547,0.0,2,2
t2_optimal_stopping,t2_optimal_stopping vs aave_hold,aave,3.257415659123904,1.7204038566411617,5.5660308571805475,0.0,3,3
t2_optimal_stopping,t2_optimal_stopping vs morpho_hold,morpho,2.9310742652410333,0.5608925896671391,6.300687802338014,0.0,3,3
t2_optimal_stopping,t2_optimal_stopping vs euler_hold,euler,2.498808469338187,-0.4903254583023209,6.471349279800864,0.034,2,3
t2_optimal_stopping,t2_optimal_stopping vs compound_hold,compound,2.8576742277342864,0.8414194644855044,5.609205171144628,0.0,3,3
t2_optimal_stopping,t2_optimal_stopping vs spark_hold,spark,1.6527999547209182,0.9644241901060946,2.4967646253323483,0.0,3,3
t2_optimal_stopping,t2_optimal_stopping vs fluid_hold,fluid,3.102084742289516,1.5721584307685887,5.292351490929436,0.0,3,3
t3_hazard,t3_hazard vs aave_hold,aave,2.6914011649176284,2.080108076301923,3.3026942535333337,0.0,2,2
t3_hazard,t3_hazard vs morpho_hold,morpho,1.8345606015145899,0.9205968093279004,2.7485243937012793,0.0,2,2
t3_hazard,t3_hazard vs euler_hold,euler,1.1008311689288952,0.3265565316810104,1.87510580617678,0.0,2,2
t3_hazard,t3_hazard vs compound_hold,compound,2.070201860851162,1.2011236841462658,2.939280037556058,0.0,2,2
t3_hazard,t3_hazard vs spark_hold,spark,1.8191107242372495,1.324128409766856,2.314093038707643,0.0,2,2
t3_hazard,t3_hazard vs fluid_hold,fluid,2.5952444727916024,1.9318626504293501,3.2586262951538547,0.0,2,2
