policy,quarter,n_blocks,net_apy_pct,sharpe_annual,n_rebalances,gas_spent_usd,final_equity_usd
b1_always_aave,2026-Q1,648000,2.749186945678206,5473.812046099581,0,0.0,1006709.6988639935
b1_always_aave,2026-Q2,215999,4.811219707343595,2123.0750214048785,0,0.0,1010605.3683478435
b2_always_compound,2026-Q1,648000,2.721064868047951,3962.3496140236025,0,0.0,1006641.7522703531
b2_always_compound,2026-Q2,215999,2.586964213755527,41897.64883194301,0,0.0,1008757.1485575337
b3_greedy_spot,2026-Q1,648000,4.385997545753306,4515.791689536426,270,4725.0,1010640.526401049
b3_greedy_spot,2026-Q2,215999,8.309841831936925,2135.232956640252,153,2677.5,1017293.1524340763
b4_mcdm_ema,2026-Q1,648000,3.633869348146068,5509.3692512808,54,945.0,1008840.0884123394
b4_mcdm_ema,2026-Q2,215999,7.723527029119603,2521.778454722471,15,262.5,1015027.9178816703
t1_threshold,2026-Q1,648000,4.387708595363193,4800.666408161863,254,4445.0,1010644.611137382
t1_threshold,2026-Q2,215999,8.366270379942486,2515.6727470549954,67,1172.5,1017340.8153861436
t2_optimal_stopping,2026-Q1,648000,4.346904151588316,5792.934367800583,147,2572.5,1010547.1861924772
t2_optimal_stopping,2026-Q2,215999,8.365809572684979,2819.3628023891824,27,472.5,1017242.3894044496
t3_hazard,2026-Q1,648000,4.387708595363193,4800.666408161863,254,4445.0,1010644.611137382
t3_hazard,2026-Q2,215999,8.366270379942486,2515.6727470549954,67,1172.5,1017340.8153861436
